epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2978.94,1.20926,0.58997,1.09033,0.96993,0.95205,0.98806,0.6336,1.32727,0.50797,1.25041,9.55951e-05,9.55951e-05,9.55951e-05
83,3015.17,1.18812,0.52294,1.09906,0.97666,0.91096,0.9872,0.63927,1.32607,0.52023,1.23438,8.70577e-05,8.70577e-05,8.70577e-05
84,3052.13,1.18064,0.51947,1.09056,0.94961,0.9589,0.9884,0.6243,1.34423,0.49999,1.24692,7.89327e-05,7.89327e-05,7.89327e-05
85,3090.14,1.16274,0.50103,1.07732,0.9507,0.95205,0.98791,0.62491,1.34662,0.50836,1.2439,7.12282e-05,7.12282e-05,7.12282e-05
86,3120.37,1.13521,0.50002,1.07354,0.92254,0.97884,0.98816,0.63231,1.34696,0.49759,1.2483,6.39518e-05,6.39518e-05,6.39518e-05
87,3155.11,1.14738,0.50333,1.06625,0.96409,0.91934,0.98748,0.63335,1.33232,0.50894,1.24217,5.71106e-05,5.71106e-05,5.71106e-05
88,3192.08,1.14585,0.49951,1.08877,0.97281,0.91096,0.98728,0.6293,1.34106,0.51898,1.24843,5.07115e-05,5.07115e-05,5.07115e-05
89,3232.61,1.16701,0.51412,1.08837,0.97114,0.92185,0.98733,0.6342,1.34445,0.51619,1.2536,4.47606e-05,4.47606e-05,4.47606e-05
90,3270.61,1.17966,0.52126,1.09981,0.94528,0.9466,0.98761,0.63123,1.33351,0.51362,1.2448,3.9264e-05,3.9264e-05,3.9264e-05
91,3310.02,1.14087,0.46806,1.16891,0.93806,0.96575,0.98823,0.63122,1.33538,0.49867,1.24388,3.4227e-05,3.4227e-05,3.4227e-05
92,3354.45,1.14655,0.46743,1.13729,0.93851,0.9589,0.98794,0.62699,1.34391,0.50236,1.25909,2.96546e-05,2.96546e-05,2.96546e-05
93,3408.92,1.14194,0.45793,1.13902,0.97114,0.92205,0.9878,0.63023,1.33892,0.49936,1.25104,2.55513e-05,2.55513e-05,2.55513e-05
94,3458.54,1.12935,0.45746,1.1377,0.97499,0.91781,0.98767,0.62879,1.33831,0.49934,1.25078,2.19212e-05,2.19212e-05,2.19212e-05
95,3506.63,1.13135,0.45932,1.14057,0.97395,0.91781,0.98779,0.62949,1.33822,0.49992,1.24855,1.87678e-05,1.87678e-05,1.87678e-05
96,3559.25,1.11242,0.4572,1.13503,0.97469,0.91781,0.98745,0.62855,1.33899,0.50151,1.24712,1.60943e-05,1.60943e-05,1.60943e-05
97,3613.59,1.12244,0.45107,1.14709,0.96486,0.94033,0.98786,0.63727,1.33895,0.50396,1.24466,1.39032e-05,1.39032e-05,1.39032e-05
98,3660.69,1.11854,0.45655,1.14916,0.97137,0.94521,0.98728,0.63439,1.34129,0.50361,1.24895,1.21968e-05,1.21968e-05,1.21968e-05
99,3692.26,1.11439,0.46179,1.1431,0.97159,0.93696,0.9876,0.63539,1.34527,0.5047,1.25161,1.09768e-05,1.09768e-05,1.09768e-05
100,3721.66,1.11087,0.45206,1.14302,0.9714,0.93054,0.98731,0.63559,1.34377,0.50445,1.24942,1.02443e-05,1.02443e-05,1.02443e-05
